Localtime,MD,InstrumentID,TradingDay,ActionDay,UpdateTime,UpdateMillisec,LastPrice,Volume,LastVolume,Turnover,LastTurnover,AskPrice5,AskPrice4,AskPrice3,AskPrice2,AskPrice1,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,AskVolume5,AskVolume4,AskVolume3,AskVolume2,AskVolume1,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,OpenInterest,UpperLimitPrice,LowerLimitPrice
20231201_21:00:20,IMMSG,pb2410,20231204,20231201,21:00:20,0,15830.000,0,0,0.000,0.000,16055.000,16020.000,15955.000,15950.000,15945.000,15520.000,15515.000,15510.000,15505.000,15490.000,1,2,3,4,2,5,1,1,2,2,33.000,16775.000,14880.000
20231201_21:00:20,IMMSG,pb2411,20231204,20231201,21:00:20,0,15810.000,0,0,0.000,0.000,16035.000,16015.000,15965.000,15960.000,15955.000,15500.000,15495.000,15490.000,15485.000,15455.000,1,2,1,3,4,3,1,1,4,1,62.000,16850.000,14945.000
20231201_21:00:20,IMMSG,rb2312,20231204,20231201,21:00:20,0,3900.000,120,0,4680000.000,0.000,0.000,0.000,4020.000,3966.000,3965.000,3791.000,3790.000,3782.000,3724.000,3721.000,0,0,30,30,30,30,30,30,30,30,780.000,4057.000,3670.000
20231201_21:00:20,IMMSG,rb2401,20231204,20231201,21:00:20,0,3921.000,13174,40,517183520.000,1568400.000,3925.000,3924.000,3923.000,3922.000,3921.000,3920.000,3919.000,3918.000,3917.000,3916.000,236,562,228,211,11,296,54,178,410,146,758858.000,4112.000,3721.000
20231201_21:00:20,IMMSG,rb2403,20231204,20231201,21:00:20,0,3933.000,12385,2,487709170.000,78650.000,3937.000,3936.000,3935.000,3934.000,3933.000,3932.000,3931.000,3930.000,3929.000,3928.000,2,15,11,9,22,17,14,106,9,38,980164.000,4126.000,3733.000
20231201_21:00:20,IMMSG,rb2405,20231204,20231201,21:00:20,0,3960.000,5963,80,236501020.000,3168900.000,3966.000,3965.000,3964.000,3963.000,3962.000,3960.000,3959.000,3958.000,3957.000,3956.000,76,97,9,38,834,1019,154,424,97,62,1140455.000,4152.000,3757.000
20231201_21:00:20,IMMSG,rb2407,20231204,20231201,21:00:20,0,3978.000,1012,0,40328050.000,0.000,3997.000,3993.000,3990.000,3984.000,3983.000,3979.000,3978.000,3976.000,3975.000,3973.000,1,1,55,6,8,2,9,2,5,1,110017.000,4168.000,3771.000
20231201_21:00:20,IMMSG,rb2409,20231204,20231201,21:00:20,0,3964.000,2000,0,79280000.000,0.000,3966.000,3965.000,3964.000,3963.000,3960.000,3956.000,3949.000,3946.000,3945.000,3941.000,40,2,1,1,1,1,1,2,2,40,20120.000,4148.000,3753.000
20231201_21:00:20,IMMSG,rb2410,20231204,20231201,21:00:20,0,3941.000,87,2,3431190.000,78820.000,3952.000,3949.000,3944.000,3942.000,3941.000,3938.000,3937.000,3936.000,3935.000,3934.000,1,10,1,8,30,1,1,19,19,1,40584.000,4131.000,3738.000
20231201_21:00:20,IMMSG,ru2401,20231204,20231201,21:00:20,0,13425.000,2845,58,382266000.000,7783650.000,13445.000,13440.000,13435.000,13430.000,13425.000,13420.000,13415.000,13410.000,13405.000,13400.000,32,62,45,76,50,31,65,38,47,95,78617.000,14355.000,12730.000
20231201_21:00:20,IMMSG,ru2405,20231204,20231201,21:00:20,0,13590.000,1772,9,240845100.000,1223100.000,13610.000,13605.000,13600.000,13595.000,13590.000,13585.000,13580.000,13575.000,13570.000,13565.000,18,18,116,84,43,35,70,79,142,13,123488.000,14545.000,12900.000
20231201_21:00:20,IMMSG,ru2410,20231204,20231201,21:00:20,0,13770.000,0,0,0.000,0.000,13805.000,13790.000,13785.000,13780.000,13775.000,13745.000,13695.000,13580.000,13550.000,13405.000,8,1,4,2,1,1,1,1,1,1,86.000,14775.000,13100.000
20231201_21:00:20,IMMSG,ru2411,20231204,20231201,21:00:20,0,13790.000,0,0,0.000,0.000,13840.000,13835.000,13825.000,13820.000,13815.000,13780.000,13775.000,13710.000,13655.000,13620.000,2,4,7,1,2,3,6,1,1,1,44.000,14675.000,13010.000
